Row,No Extraction,No Annotation,Wrong Range,Wrong Tag,Wrong Range and tag,Num correct tags,Sentence
0,"[(['B-JOB', 'I-JOB', 'I-JOB'], ['O', 'O', 'O'], ['bán', 'tạp', 'hoá'])]",[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['24', '-', '7']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['31', '-', '7']), (['B-NAME'], ['B-NAME'], ['H.T.P']), (['B-AGE'], ['B-AGE'], ['47']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['phường', 'Phước', 'Hoà']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Tạp', 'hoá', 'Phượng']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['chợ', 'Vườn', 'Lài']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['phường', 'An', 'Sơn'])]","['Từ', '24', '-', '7', 'đến', '31', '-', '7', ',', 'bệnh', 'nhân', 'được', 'mẹ', 'là', 'bà', 'H.T.P', '(', '47', 'tuổi', ')', 'đón', 'về', 'nhà', 'ở', 'phường', 'Phước', 'Hoà', '(', 'bằng', 'xe', 'máy', ')', ',', 'không', 'đi', 'đâu', 'chỉ', 'ra', 'Tạp', 'hoá', 'Phượng', ',', 'chợ', 'Vườn', 'Lài', ',', 'phường', 'An', 'Sơn', 'cùng', 'mẹ', 'bán', 'tạp', 'hoá', 'ở', 'đây', '.']"
1,[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Bệnh', 'viện', 'Chợ', 'Rẫy'])]",[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['416']), (['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['xơ', 'phổi', 'rất', 'nhiều'])]","['Bác', 'sĩ', 'Trần', 'Thanh', 'Linh', ',', 'từ', 'Bệnh', 'viện', 'Chợ', 'Rẫy', 'chi', 'viện', 'phụ', 'trách', 'đơn', 'nguyên', 'hồi', 'sức', 'tích', 'cực', ',', 'cho', 'biết', '""', 'bệnh', 'nhân', '416', '""', 'vẫn', 'đang', 'duy', 'trì', 'ECMO', ',', 'thở', 'máy', ',', 'hiện', 'xơ', 'phổi', 'rất', 'nhiều', '.']"
2,[],[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Sở', 'Y', 'tế', 'Bình', 'Thuận']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['34']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['51']), (['B-LOCATION'], ['B-LOCATION'], ['Mỹ']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Việt', 'Nam']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['29', '-', '2']), (['B-LOCATION'], ['B-LOCATION'], ['Qatar']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Trung', 'tâm', 'Kiểm', 'soát', 'bệnh', 'tật', 'Bình', 'Thuận']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['34'])]","['Theo', 'đó', ',', 'Sở', 'Y', 'tế', 'Bình', 'Thuận', 'cho', 'biết', 'sau', 'khi', 'xác', 'định', 'bệnh', 'nhân', 'số', '34', '(', 'nữ', 'giới', '51', 'tuổi', ',', 'từ', 'Mỹ', 'về', 'Việt', 'Nam', 'ngày', '29', '-', '2', 'có', 'quá', 'cảnh', 'Qatar', ')', ',', 'Trung', 'tâm', 'Kiểm', 'soát', 'bệnh', 'tật', 'Bình', 'Thuận', 'đã', 'điều', 'tra', 'dịch', 'tễ', ',', 'khoanh', 'vùng', ',', 'khử', 'khuẩn', ',', 'tiến', 'hành', 'cách', 'ly', 'người', 'liên', 'quan', 'đến', 'ca', 'bệnh', 'số', '34', '.']"
3,[],[],"[(['B-LOCATION', 'I-LOCATION'], ['I-LOCATION', 'I-LOCATION'], ['Hoà', 'Lạc'])]",[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['218']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['43']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Phú', 'Xá']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Thái', 'Nguyên']), (['B-TRANSPORTATION'], ['B-TRANSPORTATION'], ['SU290']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['25', '-', '3']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Đại', 'học', 'FPT']), (['B-LOCATION'], ['B-LOCATION'], ['Láng']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hà', 'Nội']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['31', '-', '3']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Bệnh', 'viện', 'Bệnh', 'nhiệt', 'đới', 'trung', 'ương', 'cơ', 'sở', '2'])]","['Bệnh', 'nhân', '218', ':', 'nữ', ',', '43', 'tuổi', ',', 'quốc', 'tịch', 'Việt', 'Nam', ',', 'địa', 'chỉ', 'tại', 'Phú', 'Xá', ',', 'Thái', 'Nguyên', ',', 'về', 'nước', 'trên', 'chuyến', 'bay', 'SU290', '(', 'số', 'ghế', '46', 'G', ')', 'ngày', '25', '-', '3', ',', 'sau', 'nhập', 'cảnh', 'được', 'cách', 'ly', 'tập', 'trung', 'tại', 'Đại', 'học', 'FPT', 'ở', 'Láng', '-', 'Hoà', 'Lạc', '(', 'Hà', 'Nội', ')', '.', 'Từ', '31', '-', '3', 'bệnh', 'nhân', 'được', 'cách', 'ly', ',', 'điều', 'trị', 'tại', 'Bệnh', 'viện', 'Bệnh', 'nhiệt', 'đới', 'trung', 'ương', 'cơ', 'sở', '2', '.']"
4,[],[],[],[],[],"[(['B-DATE'], ['B-DATE'], ['4/3']), (['B-LOCATION'], ['B-LOCATION'], ['Malaysia']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['sân', 'bay', 'Tân', 'Sơn', 'Nhất']), (['B-TRANSPORTATION', 'I-TRANSPORTATION'], ['B-TRANSPORTATION', 'I-TRANSPORTATION'], ['VJ', '826'])]","['Ông', 'cùng', '4', 'người', 'khác', 'hôm', '4/3', 'từ', 'Malaysia', 'về', 'sân', 'bay', 'Tân', 'Sơn', 'Nhất', 'trên', 'chuyến', 'bay', 'VJ', '826', '.']"
5,[],[],"[(['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['ĐH', 'Nha', 'Trang'])]",[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['1.035']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['34']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Nam', 'Sách']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Hải', 'Dương']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Đài', 'Loan']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['sân', 'bay', 'Cam', 'Ranh']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['7', '-', '8']), (['B-TRANSPORTATION'], ['B-TRANSPORTATION'], ['VJ2849']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Trung', 'tâm', 'Giáo', 'dục', 'quốc', 'phòng', 'an', 'ninh']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Khánh', 'Hoà'])]","['Ca', 'bệnh', '1.035', ':', 'nữ', '34', 'tuổi', ',', 'ở', 'Nam', 'Sách', ',', 'Hải', 'Dương', ',', 'từ', 'Đài', 'Loan', 'nhập', 'cảnh', 'sân', 'bay', 'Cam', 'Ranh', 'ngày', '7', '-', '8', 'trên', 'chuyến', 'bay', 'VJ2849', ',', 'được', 'cách', 'ly', 'tập', 'trung', 'tại', 'Trung', 'tâm', 'Giáo', 'dục', 'quốc', 'phòng', 'an', 'ninh', ',', 'ĐH', 'Nha', 'Trang', ',', 'Khánh', 'Hoà', '.']"
6,"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['O', 'O'], ['viêm', 'phổi'])]",[],"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['O', 'O', 'B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['sức', 'khoẻ', 'suy', 'kiệt'])]",[],[],[],"['Khi', 'vào', 'khoa', ',', 'các', 'bác', 'sĩ', 'nhận', 'định', 'tình', 'trạng', 'viêm', 'phổi', 'trên', 'bệnh', 'nhân', '64', 'tuổi', 'tuổi', ',', 'sức', 'khoẻ', 'suy', 'kiệt', '.']"
7,[],[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['21']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['61']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['72']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['25']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['84']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['21']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['111']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['25']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['116']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['29']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['136']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['23']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['137']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['36']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['192']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['23']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['197']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['41']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['200']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['61']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['222']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['28'])]","['Các', 'bệnh', 'nhân', 'được', 'công', 'bố', 'khỏi', 'bệnh', 'bao', 'gồm', ':', 'bệnh', 'nhân', '21', '(', 'nam', ',', '61', 'tuổi', ',', 'quốc', 'tịch', 'Việt', 'Nam', ')', ';', 'bệnh', 'nhân', '72', '(', 'nữ', ',', '25', 'tuổi', ',', 'quốc', 'tịch', 'Pháp', ')', ';', 'bệnh', 'nhân', '84', '(', 'nam', ',', '21', 'tuổi', ',', 'quốc', 'tịch', 'Việt', 'Nam', ')', ';', 'bệnh', 'nhân', '111', '(', 'nữ', '25', 'tuổi', ',', 'quốc', 'tịch', 'Việt', 'Nam', ')', ';', 'bệnh', 'nhân', '116', '(', 'nam', ',', '29', 'tuổi', ',', 'quốc', 'tịch', 'Việt', 'Nam', ')', ';', 'bệnh', 'nhân', '136', '(', 'nữ', ',', '23', 'tuổi', ',', 'quốc', 'tịch', 'Việt', 'Nam', ')', ';', 'bệnh', 'nhân', '137', '(', 'nam', ',', '36', 'tuổi', ',', 'quốc', 'tịch', 'Việt', 'Nam', ')', ';', 'bệnh', 'nhân', '192', '(', 'nữ', ',', '23', 'tuổi', ',', 'quốc', 'tịch', 'Việt', 'Nam', ')', ';', 'bệnh', 'nhân', '197', '(', 'nam', ',', '41', 'tuổi', ',', 'quốc', 'tịch', 'Việt', 'Nam', ')', ';', 'bệnh', 'nhân', '200', '(', 'nữ', ',', '61', 'tuổi', ',', 'quốc', 'tịch', 'Việt', 'Nam', ')', ';', 'bệnh', 'nhân', '222', '(', 'nữ', ',', '28', 'tuổi', ',', 'quốc', 'tịch', 'Việt', 'Nam', ')', '.']"
8,[],[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['6', '-', '8']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Trung', 'tâm', 'Kiểm', 'soát', 'bệnh', 'tật', '(', 'CDC', ')', 'Nghệ', 'An']), (['B-NAME'], ['B-NAME'], ['T.V.D.']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['xã', 'Viên', 'Thành']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['huyện', 'Yên', 'Thành']), (['B-NAME'], ['B-NAME'], ['D.'])]","['Liên', 'quan', 'các', 'trường', 'hợp', 'tiếp', 'xúc', 'người', 'nhiễm', 'COVI', '-', '19', ',', 'sáng', '6', '-', '8', ',', 'ông', 'Nguyễn', 'Văn', 'Định', '-', 'giám', 'đốc', 'Trung', 'tâm', 'Kiểm', 'soát', 'bệnh', 'tật', '(', 'CDC', ')', 'Nghệ', 'An', '-', 'cho', 'biết', 'kết', 'quả', 'xét', 'nghiệm', 'với', 'ông', 'T.V.D.', '(', 'ngụ', 'xã', 'Viên', 'Thành', ',', 'huyện', 'Yên', 'Thành', ')', 'và', '3', 'người', 'tiếp', 'xúc', 'với', 'ông', 'D.', 'đều', 'cho', 'kết', 'quả', 'âm', 'tính', '.']"
9,"[(['B-JOB', 'I-JOB', 'I-JOB', 'I-JOB'], ['O', 'O', 'O', 'O'], ['nhân', 'viên', 'ngân', 'hàng'])]",[],[],[],[],"[(['B-NAME'], ['B-NAME'], ['N.M.C.']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['38', 'Hàng', 'Da']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['phường', 'Hàng', 'Bông']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['quận', 'Hoàn', 'Kiếm'])]","['Theo', 'đó', 'bệnh', 'nhân', 'tên', 'N.M.C.', ',', 'là', 'nhân', 'viên', 'ngân', 'hàng', 'tại', '38', 'Hàng', 'Da', ',', 'phường', 'Hàng', 'Bông', ',', 'quận', 'Hoàn', 'Kiếm', '.']"
