Row,No Extraction,Wrong Tag,Wrong Range,Wrong Range and tag,Num correct tags,Sentence
0,"[(['B-JOB', 'I-JOB'], ['O', 'O'], ['bán', 'tạp_hoá'])]",[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['24', '-', '7']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['31', '-', '7']), (['B-NAME'], ['B-NAME'], ['H.T.P']), (['B-AGE'], ['B-AGE'], ['47']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['phường', 'Phước_Hoà']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Tạp_hoá', 'Phượng']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['chợ', 'Vườn_Lài']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['phường', 'An_Sơn'])]","['Từ', '24', '-', '7', 'đến', '31', '-', '7', ',', 'bệnh_nhân', 'được', 'mẹ', 'là', 'bà', 'H.T.P', '(', '47', 'tuổi', ')', 'đón', 'về', 'nhà', 'ở', 'phường', 'Phước_Hoà', '(', 'bằng', 'xe_máy', ')', ',', 'không', 'đi', 'đâu', 'chỉ', 'ra', 'Tạp_hoá', 'Phượng', ',', 'chợ', 'Vườn_Lài', ',', 'phường', 'An_Sơn', 'cùng', 'mẹ', 'bán', 'tạp_hoá', 'ở', 'đây', '.']"
1,"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['O', 'O', 'O', 'O'], ['xơ', 'phổi', 'rất', 'nhiều'])]",[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION'], ['Bệnh_viện', 'Chợ_Rẫy']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['416'])]","['Bác_sĩ', 'Trần_Thanh_Linh', ',', 'từ', 'Bệnh_viện', 'Chợ_Rẫy', 'chi_viện', 'phụ_trách', 'đơn_nguyên', 'hồi_sức', 'tích_cực', ',', 'cho', 'biết', '""', 'bệnh_nhân', '416', '""', 'vẫn', 'đang', 'duy_trì', 'ECMO', ',', 'thở', 'máy', ',', 'hiện', 'xơ', 'phổi', 'rất', 'nhiều', '.']"
2,[],[],[],[],"[(['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Sở', 'Y_tế', 'Bình_Thuận']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['34']), (['B-GENDER'], ['B-GENDER'], ['nữ_giới']), (['B-AGE'], ['B-AGE'], ['51']), (['B-LOCATION'], ['B-LOCATION'], ['Mỹ']), (['B-LOCATION'], ['B-LOCATION'], ['Việt_Nam']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['29', '-', '2']), (['B-LOCATION'], ['B-LOCATION'], ['Qatar']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Trung_tâm', 'Kiểm_soát', 'bệnh_tật', 'Bình_Thuận']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['34'])]","['Theo', 'đó', ',', 'Sở', 'Y_tế', 'Bình_Thuận', 'cho', 'biết', 'sau', 'khi', 'xác_định', 'bệnh_nhân', 'số', '34', '(', 'nữ_giới', '51', 'tuổi', ',', 'từ', 'Mỹ', 'về', 'Việt_Nam', 'ngày', '29', '-', '2', 'có', 'quá_cảnh', 'Qatar', ')', ',', 'Trung_tâm', 'Kiểm_soát', 'bệnh_tật', 'Bình_Thuận', 'đã', 'điều_tra', 'dịch_tễ', ',', 'khoanh', 'vùng', ',', 'khử', 'khuẩn', ',', 'tiến_hành', 'cách_ly', 'người', 'liên_quan', 'đến', 'ca', 'bệnh', 'số', '34', '.']"
3,[],[],"[(['B-LOCATION'], ['I-LOCATION'], ['Hoà_Lạc'])]",[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['218']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['43']), (['B-LOCATION'], ['B-LOCATION'], ['Phú_Xá']), (['B-LOCATION'], ['B-LOCATION'], ['Thái_Nguyên']), (['B-TRANSPORTATION'], ['B-TRANSPORTATION'], ['SU290']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['25', '-', '3']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['Đại_học', 'FPT']), (['B-LOCATION'], ['B-LOCATION'], ['Láng']), (['B-LOCATION'], ['B-LOCATION'], ['Hà_Nội']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['31', '-', '3']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Bệnh_viện', 'Bệnh', 'nhiệt_đới', 'trung_ương', 'cơ_sở', '2'])]","['Bệnh_nhân', '218', ':', 'nữ', ',', '43', 'tuổi', ',', 'quốc_tịch', 'Việt_Nam', ',', 'địa_chỉ', 'tại', 'Phú_Xá', ',', 'Thái_Nguyên', ',', 'về', 'nước', 'trên', 'chuyến', 'bay', 'SU290', '(', 'số', 'ghế', '46', 'G', ')', 'ngày', '25', '-', '3', ',', 'sau', 'nhập_cảnh', 'được', 'cách_ly', 'tập_trung', 'tại', 'Đại_học', 'FPT', 'ở', 'Láng', '-', 'Hoà_Lạc', '(', 'Hà_Nội', ')', '.', 'Từ', '31', '-', '3', 'bệnh_nhân', 'được', 'cách_ly', ',', 'điều_trị', 'tại', 'Bệnh_viện', 'Bệnh', 'nhiệt_đới', 'trung_ương', 'cơ_sở', '2', '.']"
4,[],[],[],[],"[(['B-DATE'], ['B-DATE'], ['4/3']), (['B-LOCATION'], ['B-LOCATION'], ['Malaysia']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['sân_bay', 'Tân_Sơn_Nhất']), (['B-TRANSPORTATION', 'I-TRANSPORTATION'], ['B-TRANSPORTATION', 'I-TRANSPORTATION'], ['VJ', '826'])]","['Ông', 'cùng', '4', 'người', 'khác', 'hôm', '4/3', 'từ', 'Malaysia', 'về', 'sân_bay', 'Tân_Sơn_Nhất', 'trên', 'chuyến', 'bay', 'VJ', '826', '.']"
5,[],[],"[(['B-LOCATION', 'I-LOCATION'], ['I-LOCATION', 'I-LOCATION'], ['ĐH', 'Nha_Trang'])]",[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['1.035']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['34']), (['B-LOCATION'], ['B-LOCATION'], ['Nam_Sách']), (['B-LOCATION'], ['B-LOCATION'], ['Hải_Dương']), (['B-LOCATION'], ['B-LOCATION'], ['Đài_Loan']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['sân_bay', 'Cam_Ranh']), (['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['7', '-', '8']), (['B-TRANSPORTATION'], ['B-TRANSPORTATION'], ['VJ2849']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['Trung_tâm', 'Giáo_dục', 'quốc_phòng', 'an_ninh']), (['B-LOCATION'], ['B-LOCATION'], ['Khánh_Hoà'])]","['Ca', 'bệnh', '1.035', ':', 'nữ', '34', 'tuổi', ',', 'ở', 'Nam_Sách', ',', 'Hải_Dương', ',', 'từ', 'Đài_Loan', 'nhập_cảnh', 'sân_bay', 'Cam_Ranh', 'ngày', '7', '-', '8', 'trên', 'chuyến', 'bay', 'VJ2849', ',', 'được', 'cách_ly', 'tập_trung', 'tại', 'Trung_tâm', 'Giáo_dục', 'quốc_phòng', 'an_ninh', ',', 'ĐH', 'Nha_Trang', ',', 'Khánh_Hoà', '.']"
6,"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['O', 'O'], ['sức_khoẻ', 'suy_kiệt'])]",[],[],[],"[(['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['B-SYMPTOM_AND_DISEASE', 'I-SYMPTOM_AND_DISEASE'], ['viêm', 'phổi'])]","['Khi', 'vào', 'khoa', ',', 'các', 'bác_sĩ', 'nhận_định', 'tình_trạng', 'viêm', 'phổi', 'trên', 'bệnh_nhân', '64', 'tuổi', 'tuổi', ',', 'sức_khoẻ', 'suy_kiệt', '.']"
7,[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['21']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['61']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['72']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['25']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['84']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['21']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['111']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['25']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['116']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['29']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['136']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['23']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['137']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['36']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['192']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['23']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['197']), (['B-GENDER'], ['B-GENDER'], ['nam']), (['B-AGE'], ['B-AGE'], ['41']), (['B-PATIENT_ID'], ['B-PATIENT_ID'], ['200']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['61'])]","['Các', 'bệnh_nhân', 'được', 'công_bố', 'khỏi', 'bệnh', 'bao_gồm', ':', 'bệnh_nhân', '21', '(', 'nam', ',', '61', 'tuổi', ',', 'quốc_tịch', 'Việt_Nam', ')', ';', 'bệnh_nhân', '72', '(', 'nữ', ',', '25', 'tuổi', ',', 'quốc_tịch', 'Pháp', ')', ';', 'bệnh_nhân', '84', '(', 'nam', ',', '21', 'tuổi', ',', 'quốc_tịch', 'Việt_Nam', ')', ';', 'bệnh_nhân', '111', '(', 'nữ', '25', 'tuổi', ',', 'quốc_tịch', 'Việt_Nam', ')', ';', 'bệnh_nhân', '116', '(', 'nam', ',', '29', 'tuổi', ',', 'quốc_tịch', 'Việt_Nam', ')', ';', 'bệnh_nhân', '136', '(', 'nữ', ',', '23', 'tuổi', ',', 'quốc_tịch', 'Việt_Nam', ')', ';', 'bệnh_nhân', '137', '(', 'nam', ',', '36', 'tuổi', ',', 'quốc_tịch', 'Việt_Nam', ')', ';', 'bệnh_nhân', '192', '(', 'nữ', ',', '23', 'tuổi', ',', 'quốc_tịch', 'Việt_Nam', ')', ';', 'bệnh_nhân', '197', '(', 'nam', ',', '41', 'tuổi', ',', 'quốc_tịch', 'Việt_Nam', ')', ';', 'bệnh_nhân', '200', '(', 'nữ', ',', '61', 'tuổi', ',', 'quốc_tịch', 'Việt_Nam', ')']"
8,[],[],[],[],"[(['B-PATIENT_ID'], ['B-PATIENT_ID'], ['222']), (['B-GENDER'], ['B-GENDER'], ['nữ']), (['B-AGE'], ['B-AGE'], ['28'])]","[';', 'bệnh_nhân', '222', '(', 'nữ', ',', '28', 'tuổi', ',', 'quốc_tịch', 'Việt_Nam', ')', '.']"
9,[],[],[],[],"[(['B-DATE', 'I-DATE', 'I-DATE'], ['B-DATE', 'I-DATE', 'I-DATE'], ['6', '-', '8']), (['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['B-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION', 'I-ORGANIZATION'], ['Trung_tâm', 'Kiểm_soát', 'bệnh_tật', '(', 'CDC', ')', 'Nghệ_An']), (['B-NAME'], ['B-NAME'], ['T.V.D.']), (['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION', 'I-LOCATION'], ['xã', 'Viên', 'Thành']), (['B-LOCATION', 'I-LOCATION'], ['B-LOCATION', 'I-LOCATION'], ['huyện', 'Yên_Thành']), (['B-NAME'], ['B-NAME'], ['D.'])]","['Liên_quan', 'các', 'trường_hợp', 'tiếp_xúc', 'người', 'nhiễm', 'COVI', '-', '19', ',', 'sáng', '6', '-', '8', ',', 'ông', 'Nguyễn_Văn_Định', '-', 'giám_đốc', 'Trung_tâm', 'Kiểm_soát', 'bệnh_tật', '(', 'CDC', ')', 'Nghệ_An', '-', 'cho', 'biết', 'kết_quả', 'xét_nghiệm', 'với', 'ông', 'T.V.D.', '(', 'ngụ', 'xã', 'Viên', 'Thành', ',', 'huyện', 'Yên_Thành', ')', 'và', '3', 'người', 'tiếp_xúc', 'với', 'ông', 'D.', 'đều', 'cho', 'kết_quả', 'âm_tính', '.']"
